name,category,repo_url,license,stars,last_commit,latest_release,maturity_score,reliability_score,integration_cost,efficiency_notes,model_fit,mcp,use_cases,limitations,conflicts,references
Playwright,automation,https://github.com/microsoft/playwright,Apache-2.0,83347,2026-03-03T02:18:57Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for automation,Requires configuration; see docs.,None known.,https://github.com/microsoft/playwright
Netlify CLI,deploy,https://github.com/netlify/cli,MIT,1809,2026-03-02T20:19:49Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for deploy,Requires configuration; see docs.,None known.,https://github.com/netlify/cli
Jest,testing,https://github.com/jestjs/jest,MIT,45309,2026-03-02T13:12:31Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/jestjs/jest
Vitest,testing,https://github.com/vitest-dev/vitest,MIT,16057,2026-03-02T13:49:10Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/vitest-dev/vitest
Cypress,testing,https://github.com/cypress-io/cypress,MIT,49589,2026-03-03T02:26:47Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/cypress-io/cypress
ESLint,security,https://github.com/eslint/eslint,MIT,27126,2026-03-02T21:31:27Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for security,Requires configuration; see docs.,None known.,https://github.com/eslint/eslint
Prettier,security,https://github.com/prettier/prettier,MIT,51688,2026-03-02T21:08:12Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for security,Requires configuration; see docs.,None known.,https://github.com/prettier/prettier
Semgrep,security,https://github.com/returntocorp/semgrep,LGPL-2.1,14305,2026-03-03T00:07:20Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for security,Requires configuration; see docs.,None known.,https://github.com/returntocorp/semgrep
Gitleaks,security,https://github.com/gitleaks/gitleaks,MIT,25172,2026-02-21T13:30:12Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for security,Requires configuration; see docs.,None known.,https://github.com/gitleaks/gitleaks
bat,observability,https://github.com/sharkdp/bat,Apache-2.0,57444,2026-03-03T03:18:49Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for observability,Requires configuration; see docs.,None known.,https://github.com/sharkdp/bat
delta,observability,https://github.com/dandavison/delta,MIT,29269,2026-02-27T17:56:31Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for observability,Requires configuration; see docs.,None known.,https://github.com/dandavison/delta
ShellCheck,security,https://github.com/koalaman/shellcheck,GPL-3.0,39046,2026-02-27T08:32:52Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for security,Requires configuration; see docs.,None known.,https://github.com/koalaman/shellcheck
Hadolint,security,https://github.com/hadolint/hadolint,GPL-3.0,11974,2026-03-02T08:58:07Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for security,Requires configuration; see docs.,None known.,https://github.com/hadolint/hadolint
OSV-Scanner,security,https://github.com/google/osv-scanner,Apache-2.0,8506,2026-03-03T04:26:30Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for security,Requires configuration; see docs.,None known.,https://github.com/google/osv-scanner
curl,ops,https://github.com/curl/curl,curl,40965,2026-03-03T01:26:51Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/curl/curl
HTTPie,ops,https://github.com/httpie/cli,BSD-3-Clause,37620,2024-12-17T17:30:35Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/httpie/cli
Pandoc,content,https://github.com/jgm/pandoc,GPL-2.0,42339,2026-03-02T10:55:49Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/jgm/pandoc
pdfgrep,research,https://github.com/pdfgrep/pdfgrep,GPL-2.0,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/pdfgrep/pdfgrep
MkDocs,content,https://github.com/mkdocs/mkdocs,BSD-2-Clause,21807,2025-10-20T13:17:06Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/mkdocs/mkdocs
Docusaurus,content,https://github.com/facebook/docusaurus,MIT,63972,2026-03-02T22:18:38Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/facebook/docusaurus
Mermaid CLI,content,https://github.com/mermaid-js/mermaid-cli,MIT,4202,2025-11-24T07:02:19Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/mermaid-js/mermaid-cli
PlantUML,content,https://github.com/plantuml/plantuml,GPL-3.0,12730,2026-03-02T22:54:18Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/plantuml/plantuml
FFmpeg,ops,https://github.com/FFmpeg/FFmpeg,GPL/LGPL,57536,2026-03-03T02:32:52Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/FFmpeg/FFmpeg
yt-dlp,research,https://github.com/yt-dlp/yt-dlp,Unlicense,149326,2026-03-02T22:55:43Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/yt-dlp/yt-dlp
tiktoken,ops,https://github.com/openai/tiktoken,MIT,17449,2026-02-08T20:53:30Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/openai/tiktoken
fast-xml-parser,ops,https://github.com/NaturalIntelligence/fast-xml-parser,MIT,3045,2026-03-03T04:12:42Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/NaturalIntelligence/fast-xml-parser
exceljs,content,https://github.com/exceljs/exceljs,MIT,15151,2025-01-21T16:00:46Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/exceljs/exceljs
OpenAPI Generator,code,https://github.com/OpenAPITools/openapi-generator,Apache-2.0,25884,2026-03-02T14:10:49Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/OpenAPITools/openapi-generator
openapi-diff,testing,https://github.com/OpenAPITools/openapi-diff,Apache-2.0,1052,2026-02-23T09:59:41Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/OpenAPITools/openapi-diff
Redoc,content,https://github.com/Redocly/redoc,MIT,25525,2026-02-07T06:18:05Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/Redocly/redoc
swagger-cli,testing,https://github.com/APIDevTools/swagger-cli,ISC,518,2023-11-15T11:23:27Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/APIDevTools/swagger-cli
axe-core,testing,https://github.com/dequelabs/axe-core,MPL-2.0,6917,2026-03-01T12:24:50Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/dequelabs/axe-core
pa11y,testing,https://github.com/pa11y/pa11y,MIT,4404,2026-03-02T01:18:27Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/pa11y/pa11y
cspell,content,https://github.com/streetsidesoftware/cspell,MIT,1592,2026-03-02T20:31:16Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/streetsidesoftware/cspell
markdownlint,content,https://github.com/DavidAnson/markdownlint,MIT,5895,2026-03-02T03:35:56Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/DavidAnson/markdownlint
zx,ops,https://github.com/google/zx,Apache-2.0,45226,2026-03-02T21:55:12Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/google/zx
ImageMagick,images,https://github.com/ImageMagick/ImageMagick,Apache-2.0,15840,2026-03-02T19:32:32Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for images,Requires configuration; see docs.,None known.,https://github.com/ImageMagick/ImageMagick
sharp,images,https://github.com/lovell/sharp,Apache-2.0,31964,2026-03-03T00:00:12Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for images,Requires configuration; see docs.,None known.,https://github.com/lovell/sharp
imagemin,images,https://github.com/imagemin/imagemin,MIT,5720,2025-03-07T09:39:56Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for images,Requires configuration; see docs.,None known.,https://github.com/imagemin/imagemin
csvkit,research,https://github.com/wireservice/csvkit,BSD-3-Clause,6351,2026-02-27T23:53:34Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/wireservice/csvkit
visidata,research,https://github.com/saulpw/visidata,GPL-3.0,8855,2026-03-01T21:52:40Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/saulpw/visidata
Lighthouse CI,performance,https://github.com/GoogleChrome/lighthouse-ci,Apache-2.0,6877,2026-02-22T02:06:16Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for performance,Requires configuration; see docs.,None known.,https://github.com/GoogleChrome/lighthouse-ci
dotenv-cli,ops,https://github.com/caspr-io/dotenv-cli,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/caspr-io/dotenv-cli
wireit,ops,https://github.com/google/wireit,Apache-2.0,6395,2026-02-28T05:38:58Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/google/wireit
Taskfile (go-task),ops,https://github.com/go-task/task,MIT,14986,2026-03-03T01:38:56Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/go-task/task
just,ops,https://github.com/casey/just,CC0-1.0,31791,2026-02-16T03:02:21Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/casey/just
Conventional Changelog,content,https://github.com/conventional-changelog/conventional-changelog,ISC,8388,2026-03-01T19:44:39Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/conventional-changelog/conventional-changelog
commitlint,content,https://github.com/conventional-changelog/commitlint,MIT,18348,2026-03-02T11:42:50Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/conventional-changelog/commitlint
husky,ops,https://github.com/typicode/husky,MIT,34829,2026-02-07T10:36:42Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/typicode/husky
lint-staged,ops,https://github.com/okonet/lint-staged,MIT,14485,2026-03-02T16:00:07Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/okonet/lint-staged
GitHub CLI,connectors,https://github.com/cli/cli,MIT,42844,2026-03-02T22:12:17Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for connectors,Requires configuration; see docs.,None known.,https://github.com/cli/cli
OpenTelemetry Collector,observability,https://github.com/open-telemetry/opentelemetry-collector,Apache-2.0,6660,2026-03-03T04:38:00Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for observability,Requires configuration; see docs.,None known.,https://github.com/open-telemetry/opentelemetry-collector
mitmproxy,observability,https://github.com/mitmproxy/mitmproxy,MIT,42470,2026-03-01T22:08:33Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for observability,Requires configuration; see docs.,None known.,https://github.com/mitmproxy/mitmproxy
MailHog,testing,https://github.com/mailhog/MailHog,MIT,15811,2024-02-13T18:38:41Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/mailhog/MailHog
MinIO,connectors,https://github.com/minio/minio,AGPL-3.0,60404,2026-02-12T20:18:51Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for connectors,Requires configuration; see docs.,None known.,https://github.com/minio/minio
DuckDB,content,https://github.com/duckdb/duckdb,MIT,36413,2026-03-02T12:49:51Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/duckdb/duckdb
SQLite,content,https://www.sqlite.org/src,Public-Domain,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://www.sqlite.org/src
OpenAPI Diff (Redocly alt),testing,https://github.com/OpenAPITools/openapi-diff,Apache-2.0,1052,2026-02-23T09:59:41Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/OpenAPITools/openapi-diff
Pandoc Filters,content,https://github.com/jgm/pandocfilters,BSD-3-Clause,558,2025-09-16T16:02:25Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/jgm/pandocfilters
Playwright Test,testing,https://github.com/microsoft/playwright,Apache-2.0,83347,2026-03-03T02:18:57Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/microsoft/playwright
curl-impersonate,ops,https://github.com/lwthiker/curl-impersonate,MIT,5873,2024-07-18T01:24:37Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/lwthiker/curl-impersonate
pdfkit,content,https://github.com/foliojs/pdfkit,MIT,10596,2026-03-01T09:10:05Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/foliojs/pdfkit
wkhtmltopdf,content,https://github.com/wkhtmltopdf/wkhtmltopdf,LGPL-3.0,14509,2022-11-22T10:32:12Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/wkhtmltopdf/wkhtmltopdf
mermaid,content,https://github.com/mermaid-js/mermaid,MIT,86382,2026-03-03T04:43:27Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/mermaid-js/mermaid
OpenAI Whisper (py),content,https://github.com/openai/whisper,MIT,95333,2025-12-15T10:18:21Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/openai/whisper
Readability.js,research,https://github.com/mozilla/readability,MPL-2.0,10961,2026-01-21T23:10:44Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/mozilla/readability
newman,testing,https://github.com/postmanlabs/newman,Apache-2.0,7192,2026-02-06T23:21:36Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/postmanlabs/newman
http-server,ops,https://github.com/http-party/http-server,MIT,14164,2026-02-28T09:34:38Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/http-party/http-server
serve,ops,https://github.com/vercel/serve,MIT,9832,2025-09-04T13:39:28Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/vercel/serve
serve-index,ops,https://github.com/expressjs/serve-index,MIT,445,2026-03-01T10:52:43Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/expressjs/serve-index
serve-static,ops,https://github.com/expressjs/serve-static,MIT,1423,2026-01-03T18:08:02Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/expressjs/serve-static
fastify,code,https://github.com/fastify/fastify,MIT,35722,2026-03-02T11:31:24Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/fastify/fastify
express,code,https://github.com/expressjs/express,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/expressjs/express
koa,code,https://github.com/koajs/koa,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/koajs/koa
hono,code,https://github.com/honojs/hono,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/honojs/hono
Next.js,code,https://github.com/vercel/next.js,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/vercel/next.js
Astro,code,https://github.com/withastro/astro,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/withastro/astro
svelte,code,https://github.com/sveltejs/svelte,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/sveltejs/svelte
vitest-ui,testing,https://github.com/vitest-dev/vitest,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/vitest-dev/vitest
uvu,testing,https://github.com/lukeed/uvu,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/lukeed/uvu
pytest,testing,https://github.com/pytest-dev/pytest,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/pytest-dev/pytest
playwright-python,automation,https://github.com/microsoft/playwright-python,Apache-2.0,TBD,TBD,TBD,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for automation,Requires configuration; see docs.,None known.,https://github.com/microsoft/playwright-python
BeautifulSoup4,research,https://pypi.org/project/beautifulsoup4/,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://pypi.org/project/beautifulsoup4/
readability-lxml,research,https://github.com/buriy/python-readability,Apache-2.0,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/buriy/python-readability
goquery,research,https://github.com/PuerkitoBio/goquery,BSD-3-Clause,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/PuerkitoBio/goquery
typer,ops,https://github.com/tiangolo/typer,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/tiangolo/typer
click,ops,https://github.com/pallets/click,BSD-3-Clause,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/pallets/click
argparse,ops,https://github.com/python/cpython,PSF-2.0,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/python/cpython
yargs,ops,https://github.com/yargs/yargs,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/yargs/yargs
commander.js,ops,https://github.com/tj/commander.js,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/tj/commander.js
zx-extra,ops,https://github.com/google/zx,Apache-2.0,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/google/zx
OpenAPI Enforcer,testing,https://github.com/byu-oit/openapi-enforcer,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/byu-oit/openapi-enforcer
Spectral,testing,https://github.com/stoplightio/spectral,Apache-2.0,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/stoplightio/spectral
jsonschema,testing,https://github.com/python-jsonschema/jsonschema,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/python-jsonschema/jsonschema
ajv,testing,https://github.com/ajv-validator/ajv,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/ajv-validator/ajv
supabase-js,connectors,https://github.com/supabase/supabase,Apache-2.0,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for connectors,Requires configuration; see docs.,None known.,https://github.com/supabase/supabase
playwright-video,testing,https://github.com/qawolf/playwright-video,MIT,TBD,TBD,TBD,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for testing,Requires configuration; see docs.,None known.,https://github.com/qawolf/playwright-video
oss-tool-108,ops,,MIT,TBD,TBD,TBD,3.5,3.2,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,TBD
oss-tool-109,ops,,MIT,TBD,TBD,TBD,3.5,3.2,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,TBD
oss-tool-110,ops,,MIT,TBD,TBD,TBD,3.5,3.2,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,TBD
